project_name,version,merge_scenario,class_under_analysis,method_on_analysis,local_suite,behavior_change,set_tests
fitnesset,transformed,4d9ba9d221d879507440feb084fa7521b95111ec,SlimTableFactory,SlimTableFactory(),/fitnesset/4d9ba9d221d879507440feb084fa7521b95111ec/evosuite_23,True,{'SlimTableFactory_ESTest#test0'}
fitnesset,transformed,4d9ba9d221d879507440feb084fa7521b95111ec,SlimTableFactory,SlimTableFactory(),/fitnesset/4d9ba9d221d879507440feb084fa7521b95111ec/evosuite_24,True,{'SlimTableFactory_ESTest#test0'}
fitnesset,transformed,4d9ba9d221d879507440feb084fa7521b95111ec,SlimTableFactory,SlimTableFactory(),/fitnesset/4d9ba9d221d879507440feb084fa7521b95111ec/evosuite_27,True,{'SlimTableFactory_ESTest#test0'}
fitnesset,transformed,4d9ba9d221d879507440feb084fa7521b95111ec,SlimTableFactory,SlimTableFactory(),/fitnesset/4d9ba9d221d879507440feb084fa7521b95111ec/evosuite_28,True,{'SlimTableFactory_ESTest#test0'}
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/evosuite_3,True,{'KafkaSpoutConfig_ESTest#test0'}
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/randoop_1,True,"{'(RegressionTest2#test1106','(RegressionTest1#test0652','(RegressionTest1#test0511','(RegressionTest0#test0469','(RegressionTest1#test0824','(RegressionTest1#test0723','(RegressionTest1#test0751','(RegressionTest1#test0505','(RegressionTest1#test0988','(RegressionTest0#test0394','(RegressionTest1#test0668','(RegressionTest1#test0558','(RegressionTest1#test0517','(RegressionTest2#test1169','(RegressionTest1#test0662','(RegressionTest0#test0290','(RegressionTest1#test0725','(RegressionTest0#test0448','(RegressionTest0#test0417','(RegressionTest2#test1010','(RegressionTest1#test0915','(RegressionTest1#test0697','(RegressionTest1#test0896','(RegressionTest2#test1056','(RegressionTest2#test1227','(RegressionTest2#test1105','(RegressionTest0#test0109','(RegressionTest0#test0271','(RegressionTest0#test0302','(RegressionTest0#test0204','(RegressionTest1#test0647','(RegressionTest1#test0630','(RegressionTest1#test0508','(RegressionTest0#test0263','(RegressionTest2#test1138','(RegressionTest1#test0985','(RegressionTest1#test0984','(RegressionTest1#test0719','(RegressionTest1#test0764','(RegressionTest1#test0973','(RegressionTest2#test1098','(RegressionTest1#test0979','(RegressionTest0#test0255','(RegressionTest1#test0974','(RegressionTest1#test0541','(RegressionTest0#test0463','(RegressionTest1#test0683','(RegressionTest1#test0572','(RegressionTest0#test0494','(RegressionTest1#test0563','(RegressionTest1#test0909','(RegressionTest1#test0889'}"
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/randoop_2,True,"{'(RegressionTest1#test0533','(RegressionTest0#test0298','(RegressionTest0#test0484','(RegressionTest0#test0469','(RegressionTest2#test1097','(RegressionTest1#test0598','(RegressionTest2#test1016','(RegressionTest1#test0689','(RegressionTest1#test0796','(RegressionTest0#test0436','(RegressionTest2#test1139','(RegressionTest1#test0516','(RegressionTest2#test1050','(RegressionTest1#test0679','(RegressionTest0#test0409','(RegressionTest1#test0527','(RegressionTest2#test1011','(RegressionTest0#test0262','(RegressionTest0#test0311','(RegressionTest2#test1023','(RegressionTest1#test0931','(RegressionTest1#test0754','(RegressionTest2#test1024','(RegressionTest1#test0725','(RegressionTest1#test0924','(RegressionTest2#test1010','(RegressionTest0#test0111','(RegressionTest1#test0584','(RegressionTest1#test0950','(RegressionTest2#test1147','(RegressionTest0#test0271','(RegressionTest0#test0279','(RegressionTest2#test1213','(RegressionTest2#test1179','(RegressionTest1#test0567','(RegressionTest1#test0674','(RegressionTest0#test0490','(RegressionTest2#test1027','(RegressionTest1#test0857','(RegressionTest1#test0540','(RegressionTest1#test0656','(RegressionTest0#test0209','(RegressionTest1#test0695','(RegressionTest1#test0944','(RegressionTest1#test0711','(RegressionTest1#test0589','(RegressionTest1#test0752','(RegressionTest1#test0783','(RegressionTest1#test0530','(RegressionTest1#test0747','(RegressionTest2#test1146'}"
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/evosuite_7,True,{'KafkaSpoutConfig_ESTest#test0'}
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/evosuite_8,True,{'KafkaSpoutConfig_ESTest#test0'}
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/randoop_3,True,"{'(RegressionTest1#test0640','(RegressionTest0#test0450','(RegressionTest2#test1281','(RegressionTest2#test1264','(RegressionTest2#test1121','(RegressionTest1#test0851','(RegressionTest2#test1250','(RegressionTest0#test0495','(RegressionTest1#test0646','(RegressionTest2#test1060','(RegressionTest1#test0609','(RegressionTest2#test1011','(RegressionTest1#test0792','(RegressionTest1#test0966','(RegressionTest2#test1345','(RegressionTest1#test0931','(RegressionTest1#test0660','(RegressionTest2#test1218','(RegressionTest1#test0725','(RegressionTest0#test0264','(RegressionTest1#test0942','(RegressionTest1#test0697','(RegressionTest0#test0249','(RegressionTest1#test0554','(RegressionTest1#test0858','(RegressionTest2#test1285','(RegressionTest2#test1305','(RegressionTest0#test0407','(RegressionTest0#test0480','(RegressionTest2#test1254','(RegressionTest1#test0545','(RegressionTest0#test0107','(RegressionTest0#test0490','(RegressionTest1#test0630','(RegressionTest0#test0493','(RegressionTest2#test1059','(RegressionTest2#test1290','(RegressionTest1#test0540','(RegressionTest0#test0283','(RegressionTest1#test0937','(RegressionTest0#test0384','(RegressionTest1#test0525','(RegressionTest2#test1275','(RegressionTest1#test0501','(RegressionTest1#test0874','(RegressionTest2#test1261','(RegressionTest1#test0626','(RegressionTest2#test1307','(RegressionTest1#test0737','(RegressionTest2#test1175','(RegressionTest1#test0941','(RegressionTest0#test0293','(RegressionTest2#test1053','(RegressionTest2#test1220','(RegressionTest1#test0673','(RegressionTest2#test1315','(RegressionTest1#test0699','(RegressionTest0#test0456','(RegressionTest1#test0693','(RegressionTest1#test0932','(RegressionTest2#test1344'}"
